TIME,SCORE,EMOTION
03:59:,68,happy
03:59:,1,neutral
04:00:,19,happy
04:00:,1,sad
04:01:,-1,happy
04:02:,1,sad
04:03:,50,sad
04:04:,1,sad
04:05:,3,neutral
04:06:,9,happy
04:07:,0,sad
04:07:,7,sad
04:08:,3,neutral
04:08:,12,sad
04:08:,20,neutral
04:11:,37,sad
04:11:,127,neutral
04:13:,18,sad
04:13:,1,sad
04:14:,1,neutral
04:14:,4,sad
04:15:,12,neutral
04:16:,2,neutral
04:16:,1,neutral
04:21:,1,neutral
04:22:,10,sad
04:22:,7,neutral
04:22:,6,sad
04:24:,3,happy
04:26:,1,happy
04:30:,16,neutral
04:32:,6,neutral
04:34:,1,happy
04:34:,1,neutral
04:36:,5,neutral
04:38:,1,sad
04:39:,2,hate
04:40:,1,neutral
04:50:,1,neutral
04:50:,1,sad
04:50:,3,neutral
04:50:,6,neutral
04:54:,1,neutral
04:54:,2,neutral
04:59:,13,happy
05:06:,3,happy
05:07:,14,hate
05:08:,1,sad
05:11:,2,sad
05:14:,-1,neutral
05:14:,1,neutral
05:14:,2,neutral
05:14:,13,sad
05:15:,3,neutral
05:16:,19,neutral
05:18:,1,neutral
05:19:,5,anger
05:20:,4,neutral
05:20:,1,happy
05:22:,2,neutral
05:23:,1,happy
05:23:,6,happy
05:24:,5,happy
05:24:,87,neutral
05:25:,5,sad
05:27:,1,sad
05:27:,244,neutral
05:30:,2,sad
05:33:,1,neutral
05:34:,1,happy
05:35:,5,sad
05:36:,1,neutral
05:36:,2,neutral
05:36:,5,neutral
05:37:,12,neutral
05:37:,2,hate
05:39:,1,neutral
05:39:,58,sad
05:41:,2,happy
05:41:,4,neutral
05:42:,3,happy
05:44:,68,neutral
05:44:,13,hate
05:45:,10,happy
05:45:,2,happy
05:46:,2,neutral
05:47:,1,neutral
05:52:,1,neutral
05:54:,1,neutral
05:54:,29,hate
05:54:,16,happy
05:56:,2,sad
05:56:,1,sad
05:58:,46,neutral
05:58:,1,neutral
05:58:,8,happy
06:00:,4,happy
06:01:,2,sad
06:02:,3,neutral
06:04:,2,neutral
06:04:,1,neutral
06:07:,1,neutral
06:08:,4,hate
06:08:,1,sad
06:11:,1,neutral
06:12:,1,sad
06:12:,1,neutral
06:12:,3,happy
06:13:,3,happy
06:13:,1,neutral
06:14:,2,happy
06:14:,13,sad
06:15:,26,neutral
06:15:,1,neutral
06:16:,1,neutral
06:16:,10,neutral
06:19:,14,sad
06:20:,5,sad
06:21:,1,sad
06:21:,2,sad
06:22:,6,neutral
06:23:,3,neutral
06:23:,-22,happy
06:24:,2,neutral
06:25:,1,neutral
06:26:,2,sad
06:31:,2,neutral
06:32:,3,happy
06:32:,-1,hate
06:35:,0,neutral
06:36:,2,neutral
06:38:,-27,sad
06:39:,52,sad
06:45:,16,happy
06:45:,3,happy
06:46:,3,sad
06:46:,1,sad
06:49:,11,sad
06:50:,30,sad
06:51:,-15,sad
06:53:,1,sad
06:53:,39,happy
06:54:,2,happy
06:58:,1,neutral
07:01:,1,neutral
07:03:,6,neutral
07:04:,1,neutral
07:06:,10,sad
07:07:,1,happy
07:09:,5,sad
07:09:,2,neutral
07:09:,1,happy
07:10:,8,sad
07:12:,1,happy
07:12:,9,sad
07:13:,7,happy
07:13:,2,neutral
07:14:,1,sad
07:15:,2,sad
07:17:,3,neutral
07:18:,1,happy
07:19:,1,neutral
07:20:,4,neutral
07:21:,12,neutral
07:22:,1,neutral
07:26:,1,hate
07:27:,1,sad
07:28:,1,neutral
07:29:,1,sad
07:36:,4,sad
07:37:,1,happy
07:37:,1,sad
07:38:,0,neutral
07:41:,1,neutral
07:41:,1,happy
07:45:,2,neutral
07:45:,1,neutral
07:47:,2,neutral
07:47:,2,sad
07:49:,2,neutral
07:50:,0,neutral
07:51:,1,happy
07:51:,2,neutral
07:57:,2,neutral
07:57:,1,neutral
07:58:,11,happy
08:00:,3,neutral
08:00:,12,sad
08:02:,2,sad
08:02:,3,sad
08:03:,0,sad
08:04:,1,happy
08:05:,1,neutral
08:07:,1,neutral
08:07:,1,happy
08:09:,-2,neutral
08:10:,2,neutral
08:10:,3,sad
08:10:,0,neutral
08:11:,3,sad
08:12:,1,neutral
08:12:,3,sad
08:14:,2,happy
08:14:,1,neutral
08:16:,2,hate
08:17:,26,happy
08:18:,1,anger
08:20:,1444,neutral
08:20:,5,sad
08:21:,3,neutral
08:25:,1,neutral
08:26:,0,hate
08:26:,7,sad
08:26:,15,neutral
08:26:,1,neutral
08:28:,1,neutral
08:29:,1,happy
08:29:,1,neutral
08:31:,2,sad
08:31:,3,sad
08:32:,0,neutral
08:33:,1,anger
08:33:,1,neutral
08:34:,4,neutral
08:35:,1,sad
08:37:,1,sad
08:37:,2,sad
08:37:,2,anger
08:37:,1,sad
08:39:,1,happy
08:39:,1,happy
08:39:,5,neutral
08:39:,5,sad
08:40:,1,sad
08:40:,3,sad
08:41:,2,happy
08:42:,1,neutral
08:42:,3,happy
08:43:,1,neutral
08:43:,2,neutral
08:43:,-1,neutral
08:44:,7,happy
08:44:,135,neutral
08:45:,31,happy
08:48:,2,neutral
08:48:,3,anger
08:48:,18,sad
08:49:,1,sad
08:51:,2,neutral
08:52:,1,neutral
08:52:,1,sad
08:52:,1,happy
08:53:,1,sad
08:54:,0,sad
08:55:,1,neutral
08:55:,6,sad
08:56:,18,neutral
08:56:,1,sad
08:56:,4,neutral
08:58:,7,neutral
09:00:,2,neutral
09:01:,2,happy
09:03:,1,sad
